CORPORATE_IDENTIFICATION_NUMBER,COMPANY_NAME,COMPANY_CLASS,COMPANY_CATEGORY,COMPANY_SUB_CATEGORY,DATE_OF_REGISTRATION,AUTHORIZED_CAPITAL,PAIDUP_CAPITAL,COMPANY_STATUS,PRINCIPAL_BUSINESS_ACTIVITY,REGISTERED_OFFICE_ADDRESS,ROC_CODE
L84425DL2019PLC286708,CAPITAL PRIVATE LIMITED,Private,Company limited by shares,State Govt company,27/06/2019,46540806,24686011,Amalgamated,MANUFACTURING (FOOD PRODUCTS),"C-303, Link Road, Andheri, Delhi - 433928",ROC-DELHI
L94111DL2014PTC471073,CONSULTANCY SYSTEMS PRIVATE LIMITED,Private,Company limited by guarantee,State Govt company,20/09/2014,6395878,23395995,Strike Off,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES","D-404, Park Street, Adyar, Delhi - 502931",ROC-DELHI
L33217DL2024PLC443212,DEVELOPERS MANUFACTURING HEALTHCARE LIMITED,Private,Unlimited Company,State Govt company,22/07/2024,14062137,8479744,Strike Off,WHOLESALE TRADE,"D-404, Link Road, Andheri, Delhi - 538102",ROC-DELHI
L82098DL2004OPC941372,MANUFACTURING INVESTMENTS HEALTHCARE OPC PRIVATE LIMITED,Private,Unlimited Company,State Govt company,16/01/2004,2570410,22470529,Under Liquidation,REAL ESTATE ACTIVITIES,"D-404, MG Road, Borivali, Delhi - 525416",ROC-DELHI
L15725DL2014OPC651231,SYSTEMS REALTY SERVICES LIMITED,Public,Unlimited Company,State Govt company,02/11/2014,30662620,24606629,Dissolved,HUMAN HEALTH AND SOCIAL WORK,"B-202, Brigade Road, Borivali, Delhi - 534228",ROC-DELHI
L79535DL2007OPC333932,DEVELOPERS PHARMA SERVICES OPC PRIVATE LIMITED,Public,Unlimited Company,State Govt company,08/04/2007,12673961,630478,Under Liquidation,CONSTRUCTION,"D-404, MG Road, Borivali, Delhi - 513095",ROC-DELHI
U31516DL2004PTC133041,DEVELOPERS LIMITED,Public,Company limited by shares,State Govt company,09/11/2004,36439248,13049082,Under Liquidation,MANUFACTURING (CHEMICALS),"C-303, MG Road, Whitefield, Delhi - 445628",ROC-DELHI
L29745DL2012OPC926361,CONSULTANCY SERVICES PRIVATE LIMITED,One Person Company,Company limited by guarantee,State Govt company,23/10/2012,9782841,16271673,Active,CONSTRUCTION,"A-101, Park Street, Borivali, Delhi - 505045",ROC-DELHI
L86703DL2004PTC279181,INTERNATIONAL CONSULTANCY OPC PRIVATE LIMITED,Private,Company limited by guarantee,Non-govt company,22/08/2004,48961178,1260737,Under Liquidation,FINANCIAL SERVICE ACTIVITIES,"E-505, MG Road, Adyar, Delhi - 429909",ROC-DELHI
L10849DL2017PTC505432,DEVELOPERS EXPORTS OPC PRIVATE LIMITED,One Person Company,Company limited by shares,Non-govt company,10/10/2017,27795098,19344785,Dissolved,REAL ESTATE ACTIVITIES,"E-505, Anna Salai, Andheri, Delhi - 542358",ROC-DELHI
L96327DL2015PTC839055,DEVELOPERS PRIVATE LIMITED,Public,Unlimited Company,Non-govt company,12/02/2015,23595899,15166208,Under Liquidation,COMPUTER PROGRAMMING,"D-404, Park Street, Andheri, Delhi - 542431",ROC-DELHI
L46910DL2008PLC450230,MANUFACTURING OPC PRIVATE LIMITED,Private,Company limited by shares,State Govt company,13/08/2008,44078155,19078863,Under Liquidation,MANUFACTURING (CHEMICALS),"C-303, Anna Salai, Borivali, Delhi - 416265",ROC-DELHI
L52991DL2007OPC343611,VENTURES INDUSTRIES PRIVATE LIMITED,Public,Company limited by guarantee,Non-govt company,08/12/2007,2536756,10272842,Amalgamated,ACCOMMODATION AND FOOD SERVICE,"A-101, Park Street, Andheri, Delhi - 425676",ROC-DELHI
L68957DL2013PTC185363,INTERNATIONAL IMPORTS PHARMA PRIVATE LIMITED,One Person Company,Company limited by guarantee,Non-govt company,21/09/2013,22289372,23864467,Dissolved,WHOLESALE TRADE,"A-101, Brigade Road, Borivali, Delhi - 449270",ROC-DELHI
L92197DL2018OPC697868,CHEMICALS TEXTILES MANUFACTURING OPC PRIVATE LIMITED,Private,Unlimited Company,Non-govt company,16/09/2018,14158580,16430487,Active,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES","D-404, Link Road, Andheri, Delhi - 530281",ROC-DELHI
U54578DL2009PTC640612,TEXTILES LIMITED,Private,Unlimited Company,Non-govt company,04/10/2009,37311188,9631068,Strike Off,FINANCIAL SERVICE ACTIVITIES,"A-101, Brigade Road, Whitefield, Delhi - 509139",ROC-DELHI
U33700DL2013OPC932661,VENTURES LIMITED,Private,Unlimited Company,State Govt company,12/05/2013,43735398,1455361,Dissolved,EDUCATION,"E-505, Park Street, Whitefield, Delhi - 433777",ROC-DELHI
U97503DL2004OPC540149,ENTERPRISES PRIVATE LIMITED,Private,Company limited by guarantee,State Govt company,26/03/2004,26795627,9671279,Amalgamated,CONSTRUCTION,"C-303, Link Road, Andheri, Delhi - 454309",ROC-DELHI
L44385DL2013OPC690758,EXPORTS CAPITAL OPC PRIVATE LIMITED,Public,Company limited by shares,State Govt company,23/06/2013,13976377,9024510,Amalgamated,INFORMATION SERVICE ACTIVITIES,"E-505, Brigade Road, Borivali, Delhi - 456295",ROC-DELHI
L85125DL2007PLC830445,INVESTMENTS PRIVATE LIMITED,Private,Company limited by guarantee,Non-govt company,30/03/2007,15869197,24992031,Dissolved,WHOLESALE TRADE,"B-202, Link Road, Adyar, Delhi - 488068",ROC-DELHI
U59861DL2012PLC341508,INTERNATIONAL TEXTILES LIMITED,Private,Company limited by shares,Non-govt company,20/08/2012,35886252,10431073,Under Liquidation,RETAIL TRADE,"C-303, MG Road, Andheri, Delhi - 416423",ROC-DELHI
U68712DL2014PLC453245,TECHNOLOGIES PRIVATE LIMITED,One Person Company,Company limited by guarantee,Non-govt company,14/04/2014,20005312,21809175,Active,MANUFACTURING (TEXTILES),"A-101, Link Road, Andheri, Delhi - 554006",ROC-DELHI
U73422DL2001PLC617286,DEVELOPERS TECH INDIA OPC PRIVATE LIMITED,Private,Company limited by shares,State Govt company,30/06/2001,22827617,20171322,Dissolved,EDUCATION,"C-303, Brigade Road, Adyar, Delhi - 503431",ROC-DELHI
L68290DL2022PTC958866,GLOBAL SYSTEMS VENTURES LIMITED,Private,Unlimited Company,State Govt company,26/07/2022,19855940,5231414,Strike Off,WHOLESALE TRADE,"D-404, Link Road, Whitefield, Delhi - 502305",ROC-DELHI
L82527DL2008PTC578677,INDIA DEVELOPERS OPC PRIVATE LIMITED,Private,Company limited by guarantee,State Govt company,04/07/2008,39549774,3165437,Active,REAL ESTATE ACTIVITIES,"A-101, Link Road, Satellite, Delhi - 403933",ROC-DELHI
L16034DL2003PLC623844,INDIA PRIVATE LIMITED,One Person Company,Unlimited Company,State Govt company,02/11/2003,26875462,643045,Amalgamated,COMPUTER PROGRAMMING,"A-101, Link Road, Adyar, Delhi - 413844",ROC-DELHI
U34792DL2016PTC905610,INVESTMENTS PHARMA PRIVATE LIMITED,One Person Company,Company limited by shares,Non-govt company,17/05/2016,20017332,6553996,Dissolved,COMPUTER PROGRAMMING,"B-202, Brigade Road, Adyar, Delhi - 479538",ROC-DELHI
U43414DL2021PLC949832,TECHNOLOGIES INVESTMENTS LIMITED,Public,Company limited by guarantee,State Govt company,10/03/2021,660342,13016012,Active,CONSTRUCTION,"A-101, Anna Salai, Borivali, Delhi - 491857",ROC-DELHI
U58027DL2000OPC113840,TECH PRIVATE LIMITED,Public,Company limited by shares,State Govt company,01/11/2000,23983233,989774,Amalgamated,MANUFACTURING (CHEMICALS),"A-101, Park Street, Andheri, Delhi - 448136",ROC-DELHI
L66717DL2024PTC661205,CORPORATIONS PRIVATE LIMITED,One Person Company,Company limited by shares,Non-govt company,14/06/2024,7465344,15363304,Active,INFORMATION SERVICE ACTIVITIES,"E-505, Anna Salai, Andheri, Delhi - 527809",ROC-DELHI
U57487DL2001PTC254111,SYSTEMS LIMITED,Private,Company limited by shares,Non-govt company,09/03/2001,16167038,12312745,Dissolved,ACCOMMODATION AND FOOD SERVICE,"D-404, Link Road, Adyar, Delhi - 467529",ROC-DELHI
L34876DL2008PLC972212,REALTY CONSTRUCTIONS CHEMICALS OPC PRIVATE LIMITED,One Person Company,Unlimited Company,Non-govt company,15/10/2008,41891008,14299293,Under Liquidation,ACCOMMODATION AND FOOD SERVICE,"E-505, MG Road, Adyar, Delhi - 472800",ROC-DELHI
U67330DL2011PTC889935,FINANCE FOODS OPC PRIVATE LIMITED,Private,Unlimited Company,Non-govt company,13/06/2011,4183322,10035123,Amalgamated,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES","D-404, Park Street, Adyar, Delhi - 487243",ROC-DELHI
U84683DL2010OPC608657,TECHNOLOGIES GLOBAL INDIA LIMITED,Private,Unlimited Company,State Govt company,05/05/2010,44455013,9957326,Under Liquidation,MANUFACTURING (CHEMICALS),"D-404, Link Road, Adyar, Delhi - 442814",ROC-DELHI
U91715DL2005PLC530818,EXPORTS SYSTEMS OPC PRIVATE LIMITED,Private,Company limited by shares,Non-govt company,29/03/2005,1051181,6330139,Active,REAL ESTATE ACTIVITIES,"C-303, MG Road, Borivali, Delhi - 530802",ROC-DELHI
U17899DL2022PLC489302,INDUSTRIES CHEMICALS LIMITED,One Person Company,Company limited by shares,Non-govt company,23/12/2022,42799279,10766253,Under Liquidation,REAL ESTATE ACTIVITIES,"A-101, Park Street, Whitefield, Delhi - 458315",ROC-DELHI
U13319DL2021PLC131400,FINANCE INNOVATIONS OPC PRIVATE LIMITED,Public,Company limited by shares,State Govt company,16/12/2021,35741104,7874807,Amalgamated,ACCOMMODATION AND FOOD SERVICE,"C-303, Link Road, Whitefield, Delhi - 444511",ROC-DELHI
L77175DL2006PTC985757,CAPITAL CONSTRUCTIONS DEVELOPERS PRIVATE LIMITED,One Person Company,Company limited by shares,Non-govt company,28/07/2006,37234019,15538428,Amalgamated,MANUFACTURING (TEXTILES),"E-505, Link Road, Satellite, Delhi - 442492",ROC-DELHI
U88387DL2017OPC473359,TRADING LIMITED,Private,Unlimited Company,State Govt company,28/09/2017,8680583,3615243,Amalgamated,INFORMATION SERVICE ACTIVITIES,"B-202, MG Road, Whitefield, Delhi - 443403",ROC-DELHI
U73378DL2004OPC504448,FOODS PRIVATE LIMITED,One Person Company,Company limited by guarantee,State Govt company,13/01/2004,7060059,17176293,Amalgamated,FINANCIAL SERVICE ACTIVITIES,"B-202, Brigade Road, Satellite, Delhi - 488895",ROC-DELHI
L85007DL2024OPC867345,SERVICES OPC PRIVATE LIMITED,Private,Unlimited Company,Non-govt company,27/11/2024,17406264,7795091,Amalgamated,ACCOMMODATION AND FOOD SERVICE,"A-101, Park Street, Satellite, Delhi - 529106",ROC-DELHI
L46346DL2021PTC270518,INVESTMENTS SOLUTIONS OPC PRIVATE LIMITED,Private,Company limited by guarantee,State Govt company,05/05/2021,32069060,21569274,Amalgamated,REAL ESTATE ACTIVITIES,"A-101, Park Street, Borivali, Delhi - 513412",ROC-DELHI
L21042DL2003PLC685874,TRADING CHEMICALS SYSTEMS OPC PRIVATE LIMITED,Public,Company limited by guarantee,State Govt company,03/08/2003,32490242,15796964,Under Liquidation,CONSTRUCTION,"D-404, MG Road, Adyar, Delhi - 545994",ROC-DELHI
L24414DL2016PLC784647,CORPORATIONS OPC PRIVATE LIMITED,Public,Company limited by guarantee,Non-govt company,16/04/2016,17559679,1864296,Under Liquidation,MANUFACTURING (TEXTILES),"C-303, Brigade Road, Borivali, Delhi - 541557",ROC-DELHI
L80872DL2008PLC122253,FINANCE MANUFACTURING OPC PRIVATE LIMITED,Private,Company limited by shares,State Govt company,02/04/2008,34194693,24168119,Dissolved,ACCOMMODATION AND FOOD SERVICE,"A-101, Park Street, Andheri, Delhi - 415164",ROC-DELHI
L20514DL2019PLC250246,SERVICES IMPORTS ENTERPRISES PRIVATE LIMITED,One Person Company,Company limited by shares,State Govt company,25/04/2019,2156435,3805093,Dissolved,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES","E-505, Brigade Road, Adyar, Delhi - 420508",ROC-DELHI
U83240DL2023PLC576758,TECHNOLOGIES TECH REALTY OPC PRIVATE LIMITED,One Person Company,Company limited by guarantee,State Govt company,24/05/2023,35743832,10431574,Dissolved,INFORMATION SERVICE ACTIVITIES,"D-404, Brigade Road, Adyar, Delhi - 517851",ROC-DELHI
L99952DL2019PLC540774,SOLUTIONS PRIVATE LIMITED,Private,Unlimited Company,Non-govt company,29/08/2019,43527607,9509073,Amalgamated,FINANCIAL SERVICE ACTIVITIES,"A-101, Brigade Road, Adyar, Delhi - 482286",ROC-DELHI
L13178DL2018PTC433075,TECH OPC PRIVATE LIMITED,Private,Company limited by guarantee,Non-govt company,09/11/2018,22434873,19324207,Strike Off,HUMAN HEALTH AND SOCIAL WORK,"B-202, Link Road, Adyar, Delhi - 471631",ROC-DELHI
U31744DL2006OPC825285,TRADING PHARMA PRIVATE LIMITED,Public,Unlimited Company,State Govt company,17/12/2006,20515638,1828296,Under Liquidation,INFORMATION SERVICE ACTIVITIES,"D-404, Link Road, Borivali, Delhi - 523668",ROC-DELHI
L85528DL2003PTC484157,SYSTEMS LIMITED,One Person Company,Unlimited Company,Non-govt company,14/10/2003,10255012,9229123,Active,REAL ESTATE ACTIVITIES,"B-202, Park Street, Borivali, Delhi - 480946",ROC-DELHI
L55187DL2022OPC280583,MANUFACTURING EXPORTS PRIVATE LIMITED,Public,Company limited by shares,State Govt company,30/06/2022,32250938,15581920,Active,RETAIL TRADE,"C-303, Anna Salai, Adyar, Delhi - 471035",ROC-DELHI
L52265DL2002PLC323530,CONSTRUCTIONS INDIA OPC PRIVATE LIMITED,Private,Company limited by guarantee,State Govt company,10/12/2002,20649441,22137640,Under Liquidation,CONSTRUCTION,"B-202, MG Road, Adyar, Delhi - 427778",ROC-DELHI
L70569DL2014PLC474351,FINANCE PRIVATE LIMITED,Public,Company limited by shares,Non-govt company,25/04/2014,45173398,15915356,Strike Off,ACCOMMODATION AND FOOD SERVICE,"B-202, Link Road, Borivali, Delhi - 497855",ROC-DELHI
L97677DL2024OPC585086,PHARMA HEALTHCARE OPC PRIVATE LIMITED,Public,Company limited by shares,Non-govt company,23/07/2024,31683274,8327706,Strike Off,REAL ESTATE ACTIVITIES,"E-505, Brigade Road, Whitefield, Delhi - 487814",ROC-DELHI
U82415DL2016PTC599271,TEXTILES LIMITED,Public,Company limited by guarantee,State Govt company,23/09/2016,5015181,14737503,Active,REAL ESTATE ACTIVITIES,"D-404, Park Street, Adyar, Delhi - 436008",ROC-DELHI
L16080DL2005PTC626091,MANUFACTURING ENTERPRISES FOODS OPC PRIVATE LIMITED,Public,Company limited by guarantee,Non-govt company,15/08/2005,40987525,5253032,Under Liquidation,MANUFACTURING (FOOD PRODUCTS),"B-202, Link Road, Andheri, Delhi - 512592",ROC-DELHI
U10325DL2006PTC585083,GLOBAL OPC PRIVATE LIMITED,Private,Company limited by guarantee,State Govt company,25/11/2006,1590245,19787626,Active,HUMAN HEALTH AND SOCIAL WORK,"E-505, Brigade Road, Whitefield, Delhi - 548690",ROC-DELHI
U21271DL2016OPC608559,TRADING LIMITED,Public,Company limited by shares,Non-govt company,23/03/2016,48023670,21879359,Amalgamated,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES","E-505, Link Road, Adyar, Delhi - 437635",ROC-DELHI
L43759DL2019PLC703510,MANUFACTURING CORPORATIONS TECHNOLOGIES OPC PRIVATE LIMITED,Public,Unlimited Company,Non-govt company,16/08/2019,44084495,11428549,Dissolved,RETAIL TRADE,"B-202, Brigade Road, Borivali, Delhi - 542137",ROC-DELHI
U87204DL2007PLC872110,REALTY PRIVATE LIMITED,Public,Unlimited Company,State Govt company,22/03/2007,26576103,5752591,Active,HUMAN HEALTH AND SOCIAL WORK,"C-303, MG Road, Whitefield, Delhi - 549878",ROC-DELHI
U55984DL2010OPC443162,HEALTHCARE SERVICES PRIVATE LIMITED,Private,Company limited by guarantee,Non-govt company,14/12/2010,8912259,8264117,Under Liquidation,REAL ESTATE ACTIVITIES,"A-101, MG Road, Satellite, Delhi - 518849",ROC-DELHI
U31916DL2010OPC339665,SYSTEMS OPC PRIVATE LIMITED,Private,Company limited by guarantee,State Govt company,02/02/2010,33542402,10935827,Active,ACCOMMODATION AND FOOD SERVICE,"A-101, Brigade Road, Satellite, Delhi - 479741",ROC-DELHI
U52979DL2011PLC735371,SYSTEMS OPC PRIVATE LIMITED,Public,Unlimited Company,State Govt company,06/05/2011,15954696,14013395,Dissolved,REAL ESTATE ACTIVITIES,"A-101, MG Road, Whitefield, Delhi - 466729",ROC-DELHI
L83431DL2015PLC445457,CORPORATIONS INVESTMENTS LIMITED,One Person Company,Company limited by guarantee,State Govt company,08/03/2015,21141602,23043351,Under Liquidation,HUMAN HEALTH AND SOCIAL WORK,"A-101, Park Street, Whitefield, Delhi - 477943",ROC-DELHI
L95419DL2008OPC650605,CORPORATIONS LIMITED,One Person Company,Company limited by guarantee,State Govt company,21/07/2008,40570817,580652,Dissolved,CONSTRUCTION,"D-404, Brigade Road, Satellite, Delhi - 541724",ROC-DELHI
L37823DL2023OPC387575,CHEMICALS IMPORTS OPC PRIVATE LIMITED,Private,Unlimited Company,Non-govt company,30/09/2023,11702005,14331541,Amalgamated,REAL ESTATE ACTIVITIES,"A-101, Link Road, Whitefield, Delhi - 428024",ROC-DELHI
L30206DL2021PLC542580,INTERNATIONAL LIMITED,Private,Unlimited Company,Non-govt company,22/12/2021,9481933,15394818,Active,MANUFACTURING (TEXTILES),"E-505, Link Road, Andheri, Delhi - 465529",ROC-DELHI
U92145DL2013PLC485412,SOLUTIONS LIMITED,Private,Company limited by guarantee,State Govt company,22/07/2013,48888118,5492246,Active,ADMINISTRATIVE AND SUPPORT SERVICE ACTIVITIES,"A-101, Anna Salai, Andheri, Delhi - 513032",ROC-DELHI
U86203DL2013PLC304412,CHEMICALS INDUSTRIES OPC PRIVATE LIMITED,One Person Company,Company limited by shares,State Govt company,17/08/2013,39463267,12094969,Active,EDUCATION,"C-303, Anna Salai, Whitefield, Delhi - 505183",ROC-DELHI
U87754DL2012PLC127569,HEALTHCARE IMPORTS FINANCE OPC PRIVATE LIMITED,One Person Company,Unlimited Company,Non-govt company,13/03/2012,31534808,21327934,Dissolved,INFORMATION SERVICE ACTIVITIES,"E-505, Link Road, Andheri, Delhi - 450824",ROC-DELHI
L10541DL2000OPC870557,TEXTILES PHARMA PRIVATE LIMITED,Public,Company limited by shares,State Govt company,15/09/2000,22511525,19764300,Dissolved,RETAIL TRADE,"D-404, Park Street, Adyar, Delhi - 491878",ROC-DELHI
U88490DL2002PLC530179,VENTURES PRIVATE LIMITED,Private,Unlimited Company,State Govt company,03/05/2002,38395442,23119901,Amalgamated,MANUFACTURING (TEXTILES),"B-202, MG Road, Andheri, Delhi - 460529",ROC-DELHI
L57823DL2023OPC932856,SERVICES TRADING INDUSTRIES OPC PRIVATE LIMITED,Private,Company limited by shares,State Govt company,04/11/2023,9288420,14908813,Active,MANUFACTURING (FOOD PRODUCTS),"C-303, Brigade Road, Andheri, Delhi - 516294",ROC-DELHI
L68826DL2014PLC407921,CONSULTANCY LIMITED,Private,Unlimited Company,State Govt company,27/08/2014,22395084,20399931,Under Liquidation,CONSTRUCTION,"B-202, Anna Salai, Adyar, Delhi - 500448",ROC-DELHI
L65520DL2007PTC432498,INDUSTRIES PRIVATE LIMITED,Public,Company limited by guarantee,Non-govt company,24/05/2007,36813489,20967176,Under Liquidation,WHOLESALE TRADE,"A-101, Park Street, Borivali, Delhi - 470113",ROC-DELHI
L66148DL2024PTC120592,FINANCE INTERNATIONAL PRIVATE LIMITED,One Person Company,Company limited by shares,State Govt company,31/07/2024,10749946,4211542,Active,COMPUTER PROGRAMMING,"B-202, Link Road, Andheri, Delhi - 466879",ROC-DELHI
L56218DL2012PLC807319,ENTERPRISES LIMITED,Public,Unlimited Company,State Govt company,21/08/2012,23171619,8309697,Strike Off,FINANCIAL SERVICE ACTIVITIES,"C-303, Anna Salai, Whitefield, Delhi - 471186",ROC-DELHI
L84694DL2019PTC714316,SERVICES PRIVATE LIMITED,One Person Company,Company limited by shares,State Govt company,17/05/2019,39862793,10409989,Strike Off,MANUFACTURING (FOOD PRODUCTS),"E-505, Brigade Road, Adyar, Delhi - 422157",ROC-DELHI
L33372DL2010PLC874258,TEXTILES INTERNATIONAL INDUSTRIES OPC PRIVATE LIMITED,One Person Company,Company limited by guarantee,State Govt company,28/10/2010,25784403,16241662,Strike Off,COMPUTER PROGRAMMING,"D-404, Park Street, Andheri, Delhi - 424589",ROC-DELHI
U74202DL2016PLC372380,TRADING EDUCATION LIMITED,Public,Company limited by guarantee,Non-govt company,28/03/2016,19156589,19640615,Amalgamated,HUMAN HEALTH AND SOCIAL WORK,"D-404, Anna Salai, Borivali, Delhi - 548480",ROC-DELHI
L47661DL2016PTC766913,TRADING CORPORATIONS INVESTMENTS OPC PRIVATE LIMITED,Public,Unlimited Company,State Govt company,13/06/2016,46756905,19983158,Active,WHOLESALE TRADE,"A-101, Anna Salai, Satellite, Delhi - 465296",ROC-DELHI
U99293DL2007PTC443620,FINANCE CHEMICALS LIMITED,Private,Company limited by guarantee,State Govt company,17/10/2007,34998305,3245990,Active,HUMAN HEALTH AND SOCIAL WORK,"E-505, Anna Salai, Whitefield, Delhi - 523026",ROC-DELHI
U88387DL2007OPC205488,SERVICES CHEMICALS INVESTMENTS OPC PRIVATE LIMITED,Private,Company limited by guarantee,Non-govt company,03/02/2007,30207172,15817287,Active,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES","C-303, Brigade Road, Andheri, Delhi - 463504",ROC-DELHI
L78720DL2009PTC333212,ENTERPRISES TRADING LIMITED,Public,Unlimited Company,Non-govt company,29/07/2009,35500541,1830026,Active,CONSTRUCTION,"A-101, Park Street, Satellite, Delhi - 404080",ROC-DELHI
L13196DL2001PLC909112,INDUSTRIES EDUCATION PRIVATE LIMITED,Private,Company limited by guarantee,State Govt company,15/12/2001,42820525,22040636,Amalgamated,REAL ESTATE ACTIVITIES,"C-303, MG Road, Whitefield, Delhi - 526115",ROC-DELHI
L28986DL2019OPC133648,IMPORTS INDUSTRIES LIMITED,Private,Unlimited Company,Non-govt company,30/06/2019,41938309,15630739,Active,ACCOMMODATION AND FOOD SERVICE,"D-404, Link Road, Andheri, Delhi - 494975",ROC-DELHI
U50033DL2010PTC922693,CAPITAL INDIA OPC PRIVATE LIMITED,Private,Unlimited Company,Non-govt company,01/09/2010,28213662,19552106,Under Liquidation,MANUFACTURING (TEXTILES),"B-202, MG Road, Borivali, Delhi - 555771",ROC-DELHI
U34882DL2009OPC490090,INDIA TRADING CONSULTANCY OPC PRIVATE LIMITED,One Person Company,Company limited by guarantee,State Govt company,04/08/2009,17139056,17671271,Amalgamated,MANUFACTURING (TEXTILES),"B-202, Brigade Road, Adyar, Delhi - 425469",ROC-DELHI
U53461DL2012PTC781729,REALTY INNOVATIONS PRIVATE LIMITED,One Person Company,Company limited by guarantee,Non-govt company,30/12/2012,15790747,3164420,Active,COMPUTER PROGRAMMING,"B-202, Link Road, Adyar, Delhi - 442838",ROC-DELHI
U65968DL2011PTC117353,CAPITAL REALTY SYSTEMS OPC PRIVATE LIMITED,Public,Unlimited Company,Non-govt company,23/04/2011,37338645,5331207,Under Liquidation,ACCOMMODATION AND FOOD SERVICE,"E-505, Anna Salai, Satellite, Delhi - 538514",ROC-DELHI
L77791DL2004PTC436406,PHARMA INDIA OPC PRIVATE LIMITED,One Person Company,Company limited by guarantee,Non-govt company,27/10/2004,45981594,24579462,Dissolved,MANUFACTURING (FOOD PRODUCTS),"A-101, Brigade Road, Satellite, Delhi - 453440",ROC-DELHI
L77626DL2016OPC160039,CONSTRUCTIONS PHARMA LIMITED,One Person Company,Unlimited Company,Non-govt company,21/03/2016,49613777,20696374,Active,COMPUTER PROGRAMMING,"B-202, Anna Salai, Adyar, Delhi - 415737",ROC-DELHI
U95277DL2001OPC410743,CHEMICALS EXPORTS OPC PRIVATE LIMITED,One Person Company,Unlimited Company,Non-govt company,23/09/2001,39403069,19558881,Amalgamated,MANUFACTURING (CHEMICALS),"C-303, Link Road, Borivali, Delhi - 438096",ROC-DELHI
L44232DL2015PLC563900,INVESTMENTS PRIVATE LIMITED,Public,Unlimited Company,State Govt company,06/02/2015,17736938,4414915,Strike Off,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES","B-202, Link Road, Borivali, Delhi - 439604",ROC-DELHI
L31820DL2004PTC453373,REALTY VENTURES HEALTHCARE OPC PRIVATE LIMITED,Public,Unlimited Company,Non-govt company,14/10/2004,2615149,11596345,Active,HUMAN HEALTH AND SOCIAL WORK,"D-404, MG Road, Adyar, Delhi - 498850",ROC-DELHI
L33180DL2002PTC709880,TEXTILES EDUCATION OPC PRIVATE LIMITED,Private,Unlimited Company,Non-govt company,23/02/2002,42321474,9842965,Strike Off,ADMINISTRATIVE AND SUPPORT SERVICE ACTIVITIES,"A-101, Link Road, Satellite, Delhi - 440027",ROC-DELHI
U64413DL2022PLC745818,SERVICES OPC PRIVATE LIMITED,Public,Company limited by shares,Non-govt company,04/06/2022,5239065,5275175,Dissolved,COMPUTER PROGRAMMING,"E-505, Link Road, Borivali, Delhi - 463531",ROC-DELHI
L83429DL2008PTC104990,TECH CONSULTANCY CONSTRUCTIONS LIMITED,Public,Unlimited Company,Non-govt company,04/11/2008,26043619,10367270,Amalgamated,FINANCIAL SERVICE ACTIVITIES,"B-202, MG Road, Adyar, Delhi - 423055",ROC-DELHI
L27340DL2007PTC147126,EXPORTS INTERNATIONAL INNOVATIONS PRIVATE LIMITED,Public,Unlimited Company,State Govt company,19/07/2007,20088654,15850295,Amalgamated,FINANCIAL SERVICE ACTIVITIES,"E-505, Park Street, Whitefield, Delhi - 507492",ROC-DELHI
U63217DL2000PLC544811,SYSTEMS CORPORATIONS LIMITED,Public,Unlimited Company,Non-govt company,09/05/2000,35580953,1997124,Active,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES","E-505, Brigade Road, Borivali, Delhi - 482448",ROC-DELHI
U73280DL2023PLC659664,GLOBAL IMPORTS LIMITED,One Person Company,Company limited by shares,State Govt company,03/01/2023,4587331,13127346,Amalgamated,ACCOMMODATION AND FOOD SERVICE,"E-505, Link Road, Whitefield, Delhi - 463565",ROC-DELHI
U97813DL2022PTC323112,EDUCATION PRIVATE LIMITED,Private,Company limited by guarantee,Non-govt company,14/11/2022,10530688,18257192,Strike Off,MANUFACTURING (CHEMICALS),"C-303, Park Street, Satellite, Delhi - 514444",ROC-DELHI
L85085DL2006OPC791436,INDIA SYSTEMS EDUCATION PRIVATE LIMITED,Public,Company limited by guarantee,State Govt company,13/12/2006,46842576,17284514,Amalgamated,MANUFACTURING (CHEMICALS),"B-202, MG Road, Borivali, Delhi - 477785",ROC-DELHI
U24387DL2006PLC461359,ENTERPRISES MANUFACTURING INDIA PRIVATE LIMITED,Private,Unlimited Company,State Govt company,26/12/2006,18465661,16084890,Strike Off,ACCOMMODATION AND FOOD SERVICE,"C-303, Brigade Road, Borivali, Delhi - 500177",ROC-DELHI
U51967DL2011PTC980538,GLOBAL EDUCATION DEVELOPERS PRIVATE LIMITED,One Person Company,Company limited by shares,State Govt company,18/01/2011,17494762,2859765,Amalgamated,MANUFACTURING (TEXTILES),"E-505, Brigade Road, Borivali, Delhi - 514828",ROC-DELHI
